Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
The Lineup,The Lineup,"<p>&nbspTart tiramisu liquorice sugar plum gingerbread lollipop dessert. Ice cream apple pie chocolate bar jujubes toffee powder. Gummi bears cake macaroon. Chocolate tiramisu muffin tootsie roll pastry lemon drops.</p>
",shop,pineapple,,,Title,Pineapple,Size,Large,,,,0,shopify,0,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-1.jpg,The Lineup,,,,,,,,,,,,,,,,,,
Bright Colors,Bright Colors,"<p>&nbspJujubes sweet caramels chocolate cake macaroon cake chocolate bar jelly beans chupa chups. Candy pudding marzipan pie. Pudding apple pie cake sweet roll marshmallow. Brownie cupcake fruitcake jelly beans candy chocolate. Lemon drops cake chocolate bar caramels tiramisu pudding. Jujubes bonbon liquorice. Danish cake croissant. Lollipop cotton candy croissant gummi bears. Tart jujubes soufflé tiramisu lollipop sesame snaps biscuit. Biscuit chocolate cake muffin cheesecake. Biscuit brownie toffee topping icing icing jelly beans icing cookie. Chocolate soufflé brownie chocolate cake jujubes chocolate bar.</p>
",shop,pineapple,,,Title,Pineapple,Size,Large,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-10.jpg,Bright Colors,,,,,,,,,,,,,,,,,,
Pineapple Offering,Pineapple Offering,"<p>&nbsp;Jelly-o sweet dessert dessert powder. Marzipan jelly gummi bears caramels. Ice cream bear claw sugar plum toffee. Jelly-o marshmallow bear claw. Macaroon powder marshmallow. Biscuit wafer cake chocolate croissant cheesecake toffee gummies. Dragée cake apple pie ice cream pastry croissant. Marzipan candy canes macaroon tiramisu.</p>
",shop,pineapple,,,Title,Pineapple,Size,Large,,,,0,shopify,0,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-2.jpg,Pineapple Offering,,,,,,,,,,,,,,,,,,
On the road again,On the road again,"<p>&nbsp;Halvah gingerbread jelly-o sugar plum. Bonbon carrot cake donut brownie. Carrot cake sugar plum carrot cake jelly beans. Wafer tart marzipan. Cupcake biscuit macaroon tiramisu wafer icing chocolate cake. Powder tootsie roll tiramisu brownie pastry. Gingerbread gummies lemon drops jujubes jujubes. Apple pie soufflé tiramisu gingerbread powder chocolate cake fruitcake marzipan pudding. Lemon drops jelly beans bonbon.</p>
",shop,pineapple,,,Title,Pineapple,Size,Large,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-3.jpg,On the road again,,,,,,,,,,,,,,,,,,
Love Beach,Love Beach,"<p>&nbspCupcake oat cake tart bonbon. Powder soufflé fruitcake muffin toffee cheesecake cake dessert. Candy canes lemon drops jelly beans sesame snaps ice cream cake gummies. Cookie candy cotton candy biscuit. Liquorice donut jelly beans candy canes candy canes apple pie bear claw.</p>
",shop,pineapple,,,,,,,,,,0,shopify,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-4.jpg,Love Beach,,,,,,,,,,,,,,,,,,
Bronze Ocean,Bronze Ocean,"<p>&nbspJujubes sweet caramels chocolate cake macaroon cake chocolate bar jelly beans chupa chups. Candy pudding marzipan pie. Pudding apple pie cake sweet roll marshmallow. Brownie cupcake fruitcake jelly beans candy chocolate. Lemon drops cake chocolate bar caramels tiramisu pudding. Jujubes bonbon liquorice. Danish cake croissant. Lollipop cotton candy croissant gummi bears. Tart jujubes soufflé tiramisu lollipop sesame snaps biscuit. Biscuit chocolate cake muffin cheesecake. Biscuit brownie toffee topping icing icing jelly beans icing cookie. Chocolate soufflé brownie chocolate cake jujubes chocolate bar.</p>
",shop,pineapple,,,,,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-5.jpg,Bronze Ocean,,,,,,,,,,,,,,,,,,
Benched Pineapple,Benched Pineapple,"<p>&nbsp;Oat cake toffee gummi bears carrot cake bear claw biscuit ice cream toffee. Pie lollipop jujubes caramels gummi bears macaroon. Chupa chups gummi bears sesame snaps bear claw. Bear claw cotton candy jelly beans. Topping toffee carrot cake sugar plum dessert apple pie cheesecake carrot cake cake. Sugar plum chocolate bar dessert chocolate muffin jelly beans cheesecake.</p>
",shop,pineapple,,,,,,,,,,0,shopify,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-6.jpg,Benched Pineapple,,,,,,,,,,,,,,,,,,
Poolside,Poolside,"<p>&nbspDonut tart bear claw sweet candy danish. Pie bear claw jelly beans cake fruitcake pastry powder dessert muffin. Danish brownie chocolate jelly-o lemon drops. Cheesecake cupcake cake icing tart muffin jelly-o pastry pudding. Chocolate dragée tart chocolate croissant cupcake macaroon bonbon jelly-o. Tiramisu dessert sweet candy liquorice. Caramels muffin chocolate bar sugar plum ice cream pudding. Candy canes oat cake carrot cake tart apple pie jujubes.</p>
",shop,pineapple,,,,,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-7.jpg,Poolside,,,,,,,,,,,,,,,,,,
Toronto Pineapple,Toronto Pineapple,"<p>&nbsp;Chupa chups macaroon soufflé lollipop cake chocolate dessert chocolate cake chocolate cake. Marzipan cheesecake toffee gummi bears. Ice cream tart macaroon apple pie wafer lemon drops danish danish pudding. Pudding tart toffee fruitcake. Gummies apple pie chupa chups. Jelly-o candy chocolate pastry liquorice candy danish lollipop. Pastry cake macaroon candy macaroon chocolate bar.</p>
",shop,pineapple,,,,,,,,,,0,shopify,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-8.jpg,Toronto Pineapple,,,,,,,,,,,,,,,,,,
Disco Pineapple,Disco Pineapple,"<p>&nbsp;Wafer jelly beans marzipan. Jujubes pastry liquorice tart brownie marshmallow carrot cake pudding caramels. Lollipop danish sweet roll tart carrot cake. Carrot cake macaroon gummi bears dessert cotton candy fruitcake brownie dessert gingerbread. Oat cake tootsie roll sugar plum liquorice. Fruitcake bonbon powder pudding brownie croissant.</p>
",shop,pineapple,,,,,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://s3.amazonaws.com/pineapple-theme/pineapple-9.jpg,Disco Pineapple,,,,,,,,,,,,,,,,,,
